Black Bowmore 42 year old 1964 vintage,"What impresses me most is how this whisky evolves; it's incredibly complex. On the nose and palate, this is a thick, viscous, whisky with notes of sticky toffee, earthy oak, fig cake, roasted nuts, fallen fruit, pancake batter, black cherry, ripe peach, dark chocolate-covered espresso bean, polished leather, tobacco, a hint of wild game, and lingering, leafy damp kiln smoke. Flavors continue on the palate long after swallowing. This is what we all hope for (and dream of) in an older whisky!",97 points,Single Malt Scotch  , John Hansell ,  $4500,Summer 2008,40.5%
Gordon & MacPhail (distilled at Tomintoul) cask 644 1967 vintage 40 year old,"A deep, mature Tomintoul that manages to retain the elegance and drinkability found in younger Tomintoul whiskies. Roasted nuts, lush fruit, suggestions of cherry brandy and orange marmalade layered with rich fudge, toffee, and maple syrup. Soothing finish. Tomintoul can be a simple whisky at a younger age, but this one has matured into a beautifully complex dram. (Bottled for Park Avenue Liquors.)",92 points,Single Malt Scotch  , John Hansell ,  $260,Spring 2008,49.4%
Tomintoul Reserve 37 year old,"Not what you’d expect from a malt at this age. Instead of oak dominating the nose, it's citrus in focus, with orange marmalade, candied orange, and even orange blossom. On the palate this whisky is light and delicate, leading with the citrus notes from the nose. This symphony of orange is followed with toffee, ginger, oak, and rancio in a combination that's well balanced and integrated. Unique for its age, a definite treat for those who prefer lighter and more delicate whiskies. (U.S. only, 600 bottles)",92 points,Single Malt Scotch  , Geoffrey Kleinman ,  $600,Spring 2015,43%
Tomatin,"Aged in a refill American oak cask. Quite lively for its age, and the oak (surprisingly and happily) plays a supporting role rather than dominating. Creamy and mouth-coating, with vanilla wafer, coconut cream pie, caramel, nougat, and bright fruit (sultana, apricot, tangerine, and pineapple in syrup). Soothing finish. A very nice whisky. (Not available in the U.S.)£450",92 points,Single Malt Scotch  , John Hansell ,  $730.00,Spring 2011,44%
Tomatin 1971 Warehouse 6 Collection,"This 44 year old was matured in oloroso casks before being bottled at cask strength in May 2016. Mellow, sherried fruit on the nose, with rose hips, vanilla fudge, almond, honey, and slightly earthy spices. The fragrant palate features an intense blast of ripe fruit, caramel, and sweet spices, while resin develops in time. The medium-length finish offers plain chocolate, raisins, and prunes, with no negative tannins. One of the best Tomatins to date.",92 points,Single Malt Scotch  , Gavin Smith ,  $4000,Winter 2016,45.8%
Oban Little Bay,"Finally, an unimpeachable counterpoint to the rally cry against no age statement whisky. Oban Little Bay is everything that Oban 14 is, and more. A rich, fruity, malty nose showcases dried apricot, dark chocolate, and salt. On the palate, Little Bay explodes with flavor, combining malt with orange, chocolate, and blackberry. Clove and oak spice join the party in the mid-palate, which shows superb balance and integration. A long, slightly dry, citrusy spice finish caps off a stunning whisky.",92 points,Single Malt Scotch  , Geoffrey Kleinman ,  $75,Fall 2015,43%
Kilchoman 'Inaugural Release,"Aged 2.5 to 3 years on bourbon casks and then finished in sherry casks for 6 months. Wow, this is quite stunning! Old-fashioned in many respects: oily texture, with rooty, layered peat smoke, coal tar, shoe polish, and hints of wet sheep as the foundation for a complex array of additional flavors: toffee apple, caramel fudge, blackberry jam, golden raisin, grist, bourbon barrel char, and licorice root. Long, smoldering ember, dried herb, light toffee finish. It’s all balanced perfectly, and very mature for its age. If you like smoky whiskies, track one down. (Not available in the U.S.) £37.00",92 points,Single Malt Scotch  , John Hansell ,  $60.00,Spring 2010,46%
Kilchoman 11 year old ImpEx Cask Evolution 01/2019 Single Cask Bourbon Cask Finished (Cask #302/2007),"Earthy, with charcoal smoke on the nose, sea shells, citrus oil, and a candied note of lemon pastille. A powerful palate offers bonfire smoke, iodine, grilled sausage, and black pepper, with lemon oil, bitter chocolate, and light earthiness. The finish has some salinity, as well as more bonfire smoke and bitter espresso. Assertive but balanced, well-structured and smooth. A dynamic whisky that’s an iron fist in a velvet glove. (230 bottles for U.S.)",92 points,Single Malt Scotch  , David Fleming ,  $175,Fall 2019,56.4%
Glen Moray Mastery,"Glen Moray is celebrating its 120th anniversary with Mastery, a vatting from 1978, 1988, 1994, 1999, and 2001. Maturation—and finishing—has occurred in a mix of bourbon, sherry, madeira, and port casks. Resinous sherry, smoky red wine, caramel, and vanilla on the nose. Voluptuous on the palate, with sherry, succulent stewed fruit, soft toffee, and cocoa powder. Long in the gently spiced finish, with port-soaked oak. (1,000 bottles)",92 points,Single Malt Scotch  , Gavin Smith ,  $1000,Fall 2017,52.3%
Glen Moray 18 year old,"The relentless upward march of prices for well-aged scotch is discouraging to veteran whisky drinkers and newcomers alike. At just $90, this lovely Speyside 18 year old hearkens back to the good old days of single malt. A warm, soft, and rounded whisky, with pleasing melon and apricot flavors, hints of dried hay and apple pie à la mode, and a backbone of peppery fruit and malt, Glen Moray 18 year old isn’t about bombast. It balances delicacy and strength rather than embracing raw power. Although it’s celebrating its 120th anniversary this year, Glen Moray isn’t very well known in the United States, but that may be about to change. Number 10 in the 2017 Top 20 ",92 points,Single Malt Scotch  , Adam Polonski ,  $90,Winter 2017,47.2%
Craigellachie 33 year old,"This was previously exclusive to Travel Retail, but is now available in the U.S. Cereal and succulent tropical fruits on the nose, plus Craigellachie’s signature sulfur, along with cloves and polished oak. Toffee and orchard fruits on the muscular palate, with oatmeal and a mineral quality. The finish is long and yields another whiff of sulfur, lemon, and a hint of mint. A quirky dram of true quality. (1,700 bottles)",92 points,Single Malt Scotch  , Gavin Smith ,"  $3,000",Summer 2019,46%
Kirkland 20 year old Sherry Cask Finish Speyside,"No doubt about the sherry finish here: Toblerone, brown sugar, raisins, Fig Newtons, and hazelnuts on the nose, along with a hint of sulfur. The palate is oak-driven and chocolaty, with dried figs, raisins, cherries, blueberries, candied ginger, cloves, black pepper, and almonds. A supple, moreish finish with dark chocolate and lengthy polished oak. From the same undisclosed distillery as Kirkland’s 18 year old. (Costco)",92 points,Single Malt Scotch  , Susannah Skiver Barton ,  $58,Winter 2018,46%
Ardbeg Ardbog,"The follow-up to last year’s Ardbeg Day, here’s the cult distillery in its funkiest guise with a nose that’s reminiscent (I’d imagine) of a frontier trading post: all pitch, furs, and gun oil. Some mint hangs around in the background alongside eucalyptus. This is an earthy, in-your-face Ardbeg with a hint of box-fresh sneakers indicating some youthfulness. The mouth is thick and chewy: wild mint, oily depths, and the slightly manic energy typical of Ardbeg’s young years. Editor's Choice.",91 points,Single Malt Scotch  , Dave Broom ,  $100,Fall 2013,52.1%
Ardbeg Supernova Committee bottling 2014,"Pale and slightly flinty to start, with touches of Caol lla-style salt-washed rocks, but here there’s sweetness, while the smoke gives it a mezcal-like air; pears and burning wood (hot brake pads), minerality, then green olive and a light medicinal note. With water, sashimi-style cleanliness. The palate is rounded, with real olive oil, peppery sweetness, soot, and white chocolate. A real ‘palate whisky,’ filled with bare-faced bravado.  A great Ardbeg.",91 points,Single Malt Scotch  , Dave Broom ,  $160,Fall 2014,55%
Ardbeg Supernova 2015 Release,"Apparently this is the final Supernova release and the Ardbeg team has ensured it goes out with all guns blazing. Although it seems calm initially—there’s a minty and sweet spicy element to the fore—the smoke begins to push through in the guise of creosote, then sootiness which, in turn, mingles with seaweed aromas. The peat dominates the palate but there is sufficient oiliness to round it out and add layers of smoked fish, and dried grasses. Farewell.",91 points,Single Malt Scotch  , Dave Broom ,  $160,Winter 2015,54.3%
Ardbeg Dark Cove Committee Edition,"This is the bigger, spicier, and more complex of the pair (see below). A prickly start leads to heavy peat smoke, pink and Szechuan peppercorns, vanilla, dark chocolate, angelica, then seaweed. The palate is oily, with a detonation of gunpowdery peat, licorice, smoked eel, and a feral edge that adds grunt. Layered and complex.",91 points,Single Malt Scotch  , Dave Broom ,  $110,Summer 2016,55%
Ardbeg Twenty Something,"This 23 year old expression was released for the Ardbeg Committee. It includes whisky matured in sherry and bourbon casks. Sweet asphalt, bonfire smoke, lemon sponge drizzled in iodine, and background cinnamon on the nose. Succulent, sherried, and chocolate-coated orchard fruits on the oily palate, with vanilla and sweet peat. The peat dries slowly in the finish, with developing licorice, kippers, and peppery oak",91 points,Single Malt Scotch  , Gavin Smith ,  $550,Spring 2018,46.3%
Ardbeg Grooves,"The 2018 Ardbeg Day limited-edition bottling includes a proportion of spirit matured in red wine casks which have been heavily charred, leaving deep grooves in the surface of the oak. Fragrant soft smoke, warm leather, and salty red berries on the nose; background charcuterie. The palate offers red berry fruits, vanilla, dense peat smoke, brine, and asphalt. Beach bonfires and black pepper in the sweet finish.",91 points,Single Malt Scotch  , Gavin Smith ,  $110,Summer 2018,46%
Arran 21 year old,"Arran’s latest addition to its core range is matured in bourbon and oloroso sherry casks. Mellow on the nose, with baked apple and toffee, then developing tropical fruits and icing sugar aromas in time. Sweet and balanced on the palate; spicy, with milk chocolate and peaches in syrup. Lengthy in the finish, with tangy fruit notes, restrained oak, and gentle spices. (9,000 bottles)",91 points,Single Malt Scotch  , Gavin Smith ,  $200,Summer 2019,46%
Auchentoshan 21 year old,"I feel this is by far the best whisky in the standard Auchentoshan portfolio, and it is one of the best Auchentoshans ever released. It’s delicious, nicely balanced, and with lovely depth for a Lowland whisky. Baked muffins, creamy vanilla, honey, and caramel blend nicely with delicate fruit notes (lemon, red current, strawberries). An impeccably balanced whisky. Similar to the 10 year old reviewed below, but with greater depth and a drier finish.",91 points,Single Malt Scotch  , John Hansell ,  $115,Winter 2004,43%
Balblair 1995,"The latest Balblair release is a 1995 vintage expression, exclusive to global travel retail outlets. Matured in second-fill bourbon casks, Balblair 1995 is non-chill filtered and naturally colored. Initially very fruity on the nose, with peaches and carnations, icing sugar on bonbons, then a faint sprinkling of black pepper. Stewed fruits on the early palate, full and confident, with developing spices and brittle toffee. Relatively lengthy in the finish, with dark chocolate and soft oak. Price is per 1 liter.",91 points,Single Malt Scotch  , Gavin Smith ,  $80.00,Fall 2011,46%
The Balvenie Single Barrel 15 year old (Cask #7266),"One of the finest Balvenie 15 year olds I’ve tasted. The flavors are clean, well defined, confident, and beautifully balanced. Full malty foundation (with some ripe barley thrown in). Soft, creamy vanilla, honeycomb, bright fruit (orange, nectarine, lemon peel, hints of pineapple), with emerging dried vanilla, coconut, oak resin, and subtle anise. Polished oak finish. It doesn’t have the depth that the classic older Balvenies have shown in the past, but what it does have, it has in spades. Beautiful! (A Julio’s Liquors exclusive.)",91 points,Single Malt Scotch  , John Hansell ,  $62,Summer 2010,47.8%
The Balvenie Tun 1509,"This newbie from Balvenie is the worldwide replacement for the market-specific Tun 1401. A larger volume vat (8,000 liters) is now being filled with an equally eclectic mix of casks (42 casks ranging from 1970 to 1992). Deep amber; this has substance but being Balvenie, it’s gentle: orange blossom/Manuka honey edged with spice, marmalade, scented woods, and a little frangipane. The palate shows a supple, rippling power with some apricot, cinnamon, and root ginger. Awfully good. £230",91 points,Single Malt Scotch  , Dave Broom ,  $369,Winter 2014,47.1%
The Balvenie PortWood 21 year old,"This is the ultimate PortWood expression from Balvenie and has been finished in 30 year old port pipes. A more vibrant and textured Travel Retail variant is non-chill filtered and bottled at 47.6%. Soft, red grape notes, vanilla, and milk chocolate on the nutty nose. Very discreet smoke. Rich plum flavors in the mouth, dark berries covered in cream, and spicy honey. The finish is long and elegantly drying.",91 points,Single Malt Scotch  , Gavin Smith ,  $220,Spring 2017,40%
The Balvenie Tun 1509 (Batch #3),"The third batch in this series comprises twelve sherry butts distilled between 1989 and 1992, eleven American oak hogsheads from 1989, and eight refill American oak butts distilled in 1992 and 1993. Rich sherry, honey, and malt notes on the nose, with figs and citrus peel. Silky on the palate, with Jaffa oranges, raisins, ginger, and plain chocolate. Licorice, sherry, and spicy oak in the very long finish. (8,850 bottles)",91 points,Single Malt Scotch  , Gavin Smith ,  $350,Summer 2017,52.2%
Benromach 1975,"This vintage bottling was distilled during the 1970s and spent 41 years in a refill bourbon hogshead (#3434). Spicy on the early nose, with fresh oak. Increasingly malty, with ginger and apricot. The palate is rich and full, with Jaffa orange, stewed apples, cocoa, and pipe tobacco. Plain chocolate and increasingly tannic oak in the finish. Ultimately, warming spicy citrus fruits and smoky black pepper. (162 bottles) £1,250",91 points,Single Malt Scotch  , Gavin Smith ,  $1600,Fall 2017,49.9%
Benromach 1977,"This 39 year old was matured in a single refill American hogshead. Orange Jujubes on the early nose, with vanilla, honey, and linseed. Big, sweet, soft fruit notes on the palate, with pipe tobacco and a hint of background peat smoke. Aniseed and ginger develop, along with the merest hint of old oak in the persistently fruity finish. £1,250; Not available in the U.S. (225 bottles)",91 points,Single Malt Scotch  , Gavin Smith ,"  $1,735",Spring 2018,56%
Bowmore 25 year old,"Amber chestnut color. Aromas of rich sherry, ripe fruit, toffee, molasses, peat smoke, damp oak, and nuts. Medium to full in body. Its flavors start out rich and sweet, with sherried fruit, toffee, and dark chocolate. It then becomes drier with notes of peat, smoked nuts, seaweed and brine, ultimately finishing with notes of spice, bitter chocolate, and smoky smoldering embers.
   Style: Islay single malt Scotch whisky. Available at specialty retailers nationwide. 
   This is a new bottling of Bowmore 25 year old and an improved one at that. It is richer, fuller, and more balanced than its predecessor. A wonderful dram indeed. The 17 year old was my favorite of the standard Bowmore line. Not anymore.",91 points,Single Malt Scotch  , John Hansell ,  $160,Spring 2003,43%
Bowmore 18 year old,"This replaces the 17 year old in the standard Bowmore portfolio. (The 17 year old will now be Duty Free Only.) The difference is significant. This one is more sherried than the 17 year old, and it wears the sherry well. I know that many of you, like myself, adore the 17 year old. Indeed, I feel that the 17 year old displays the true essence of Bowmore. But this 18 year old integrates the sherry notes with the Bowmore signature to create a richly flavored Islay whisky experience. Thick toffee, ripe fruit, and tar-tinged smoke are accentuated by dark chocolate, cocoa powder, burnt raisin, dates, and sea salt. Long, entertaining finish.",91 points,Single Malt Scotch  , John Hansell ,  $85,Summer 2007,43%
Duncan Taylor 22 year old 1982 vintage (Cask #85013,"A very clean, elegant Bowmore with a naked beauty that shows its Islay roots. You’ll find fresh brine and seaweed on a bed of honeyed malt and soft vanilla cream. Subtle berries, citrus, and melon fruit add a complex fruit dimension. Fresh, appetizing finish. Nicely done! (Exclusive to The Party Source.)",91 points,Single Malt Scotch  , John Hansell ,  $100,Winter 2006,58.9%
Bowmore Vault Edition Atlantic Sea Salt (First Release),"This is the first of four bottlings in the Vault Edition series and was matured in bourbon barrels in the distillery’s famous No.1 Vaults. Nectarines in brine on the nose, with iodine and sweet spices. Medium-bodied on the palate, with peaches, vanilla, salt, and slightly bitter orange. Lingering orange notes in the finish, with cocoa powder and lots of salt. This expression lives up to its name!",91 points,Single Malt Scotch  , Gavin Smith ,  $140,Summer 2018,51.5%
Brora,"Quite lively for 25 years, with layers of bright fruit (lemon, nectarine, grapefruit, pineapple) on a bed of vanilla and honey. There’s a peppering of dried spice, smoldering ember, and beach pebbles. Lightly smoky, dried spice finish. Very nice. Brora enthusiasts will not be disappointed, but the prices of the whisky from this shuttered distillery are creeping up.",91 points,Single Malt Scotch  , John Hansell ,  $350.00,Summer 2009,56.3%
Bruichladdich Black Art 05.1 1992,"As ever, the composition of Black Art is a closely guarded secret, and this is distiller Adam Hannett’s first such assembly. Rich aromas of fig, succulent autumn berries, sherry, cream, and malt feature on the complex, floral nose. Viscous on the palate, which opens dry, with developing berry fruits and spicy oak, plus dried fruits and candied peel. Long and drying in the finish, with plum and peppery oak.",91 points,Single Malt Scotch  , Gavin Smith ,  $330,Summer 2017,48.4%
Bruichladdich 1986,"This expression was distilled in December 1986 and filled into seven oloroso sherry butts. In 2012 the whisky was transferred to Pedro Ximénez butts for finishing. The nose yields sultanas, figs, old leather, and white pepper. Very sweet fruit notes on the palate, almost sugary, with background rich sherry, dates, and treacle. Long and warming in the finish, with a wisp of smoke and fruit spices. (4,200 bottles)",91 points,Single Malt Scotch  , Gavin Smith ,"  $1,100",Spring 2018,44.6%
Bruichladdich Islay Barley 2011,"Distilled from Oxbridge and Publican barley varieties grown on six Islay farms. Lime, brine, oatmeal cookies, and custard on the nose. Sweet barley, apricots, sultanas, cloves, and quite tannic oak on the palate. Malt and sea salt in the medium-length finish.",91 points,Single Malt Scotch  , Gavin Smith ,  $70,Fall 2019,50%
Caol Ila Feis Ile Bottling 2013,"Although aged in refill, then active hoggies, and finally sherry, there’s more smoke than oak here, a smoke like the aroma of a fire clinging to a tweed jacket. A note akin to wilting spinach gives way to more conventional strawberries and cream, but always mixed with seashore breezes. This is Caol Ila in deep and bold mood with green fig, banana, and a sweet center. Water gives greater integration. You might (just) be able to get this. Do it. (distillery only) £99",91 points,Single Malt Scotch  , Dave Broom ,  $152,Fall 2013,56.5%
Signatory (distilled at Caol Ila) 1984,"Clearly Caol Ila; it’s the way that the oily smokiness seems to lean into the nose, bearing with it wet oilskins, a barely smoldering wood fire, light seashore elements (drying crab shells), and very pure fruit, which then opens to classic smoked ham aromas. Retronasally, there’s a touch of green pea pod. The smokiness is more assertive than normal on the tongue, with olive oil, deep fruits, and a pine-scented juniper note. Another belter. (The Whisky Exchange only) £155",91 points,Single Malt Scotch  , Dave Broom ,  $258,Spring 2014,54.7%
Caol Ila Unpeated 15 year old,"Unpeated Caol Ila has become a staple in Diageo’s Special Releases program. This year’s expression was matured in a combination of refill and rejuvenated American oak barrels and bodega European oak butts. Fresh and spicy on the nose, with tropical fruit aromas. Creamy on the palate, with fruit-and-nut milk chocolate bars, plus notes of developing citrus. The finish is slightly earthy, with wood spices.",91 points,Single Malt Scotch  , Gavin Smith ,  $129,Winter 2018,59.1%
Clynelish,"There’s something enigmatic and highly attractive about this distillery and its deceased brother, Brora. Perhaps it’s the unpredictability; there are plenty of independent releases of varied and often questionable quality, and you’re never quite sure what’s going to turn up. Even iconic expressions such as the 30 year olds can vary from quite sublime to appalling and sulfury when in the wrong hands. When the malts from both distilleries are good, though — and the official bottlings tend to be — they’re very, very good. This Clynelish is a delightful surprise from the beginning, its nose some way removed from the official 14 year old, and more in common with some recent Diageo-release Broras, mixing soft maritime notes with squiggly peat and some fruit notes. The palate is complex and attractive, with savory peat, sweet pineapple, salt, light fish, drizzled lemon, pepper, chili, and cardamom. It all makes for a big, complex, evolving (and grown up) whisky — and great value for the price tag.",91 points,Single Malt Scotch  , Dominic Roskrow ,  $96.00,Spring 2011,57.3%
Cragganmore 25 year old (Diageo Special Release 2014),"The question is how this stacks up against the Friends of the Classic Malts bottling, one of my 2014 highlights. This shows mature distillery character with that discreet meaty undertow bedding down exuberant top notes: icing sugar on rhum baba, preserved lime, crystallized fruits, honey, pecan, fig, and scented woods. Typical of Cragganmore in its constantly shape-shifting character. The palate is concentrated orchard fruits, dried fruits, light spice, chestnut puree, and a little smoke. So yes, in the same league. (3,372 bottles)",91 points,Single Malt Scotch  , Dave Broom ,  $500,Winter 2014,51.4%
The Dalmore Mackenzie 1992 Vintage,"A tribute to the Mackenzie Clan. Aged in bourbon barrels for 11 years, and then aged an additional 6 years in port pipes, creating a rich, voluptuous, robust Dalmore expression. Notes of toffee, molasses, caramelized nuts, pancake batter, fig cake, and chocolate-covered citrus. Subtle glazed ginger and orange marmalade add complexity. Polished oak, tobacco-tinged finish. Very dynamic and never sappy or cloying. Save this one for after dinner.",91 points,Single Malt Scotch  , John Hansell ,  $175,Summer 2010,46%
The Dalmore Distillery Exclusive 1991,"Staff members at Dalmore selected this distillery-exclusive bottling, which has been drawn from American white oak cask number 446, and bottled at cask strength. The out-turn comprises 450 bottles. Refined, polished oak on the nose. Honey, marzipan, caramel, and vanilla. Fragrant, with old leather and over-ripe oranges when water is added. Warm leather, apricots, orange marmalade, cocoa powder, and developing spice on the palate. A long, spicy, citric finish. Finally, licorice. £150",91 points,Single Malt Scotch  , Gavin Smith ,  $236,Winter 2011,59%
The Dalmore 1969 42 year old,"Initially filled into an ex-bourbon cask, then transferred into a Gonzales Byass oloroso ‘Matusalem’ sherry butt in 2005 for four years, before a final two years in a freshly-emptied bourbon barrel. The nose is initially floral, with overripe Seville oranges, figs, ginger, and cocoa powder. Peaches and almonds on the palate, before dark fruits and salted nuts appear. Drying oak is held at bay, and the final note is fat and figgy. Cask number 14; 233 bottles.",91 points,Single Malt Scotch  , Gavin Smith ,"  $24,000",Fall 2012,45.5%
The Dalmore 21 year old,"Dalmore released 8,000 bottles of its latest 21 year old, initially matured 10 years in American oak barrels before an 11 year period of secondary maturation in first-fill Matusalem oloroso sherry butts from Gonzalez Byass. Intense aromas of Jaffa orange, marzipan, and ginger, plus soft oak. Robust, yet stylish. Smooth and well-rounded on the palate, with milky coffee, orange marmalade, cinnamon, and developing spicy dark chocolate. The lengthy finish is spicy, with licorice, a hint of citrus, and sweet oak.",91 points,Single Malt Scotch  , Gavin Smith ,  $530,Winter 2015,42%
The Dalmore Port Collection 1996 Vintage,"Dalmore launched a trio of vintages finished in tawny port pipes. The pick of the bunch is the oldest, distilled in 1996, which displays a confident, rich nose of raisins, mildly smoky prunes, vanilla, and blood orange. Full-bodied in the mouth, with red berry fruits, ginger, white pepper, and spicy oak. Medium-length in the finish, with coffee-soaked oak, figs, and damsons at the close. £450",91 points,Single Malt Scotch  , Gavin Smith ,  $592,Winter 2017,45%
Dalmore Cigar Malt Reserve,"Aged in a mix of American white oak barrels, oloroso casks, and cabernet sauvignon barriques. Sherry, vanilla, caramel, ripe cherries, and sultanas on the nose. The palate yields characteristic Dalmore orange, plus brittle toffee, bitter chocolate, and cherry liqueur. Spicy licorice and soft oak in the finish.",91 points,Single Malt Scotch  , Gavin Smith ,  $180,Summer 2019,44%
Dalmore 1263 King Alexander III,"Six different cask finishes were used for this bottling. Fudge, resin, tropical fruit, Seville oranges, and milk chocolate on the nose. Supple and smooth on the palate; complex, with red berries, orange rind, cream, cinnamon, and ginger. Long in the finish, with nougat, pepper, and dark berry fruits.",91 points,Single Malt Scotch  , Gavin Smith ,  $300,Summer 2019,40%
Glen Grant 25 year old,"Glen Grant’s new(ish) owner Campari is putting its money where its mouth is. Investment in plant, wood, and an impressive visitor center is slowly being backed up with a series of new releases. This venerable example comes from Gordon & MacPhail’s stocks, but is an official bottling due out in time for Christmas. This is GG in relaxed, avuncular mode: subtle woods, amber, Oolong tea, anise. The palate is old apple, fresh plum, cream, and ginger spiciness. £255(Available at the distillery, in France, and Travel Retail in Asia only.)",91 points,Single Malt Scotch  , Dave Broom ,  $407.00,Fall 2011,43%
Glen Scotia 25 year old,"Maturation took place in refill bourbon casks before a final 12-month period in first-fill bourbon casks. Lemon, ginger, pine resin, and a hint of sea salt on the nose, then banoffee pie develops. Luscious on the palate, with subtle spice, a touch of ashy smoke, and principally big orchard fruit notes. Drying in the lengthy finish, with a wisp of smoke, brine, and peppery oak. Glen Scotia at its characterful best.£250",91 points,Single Malt Scotch  , Gavin Smith ,  $320,Fall 2017,48.8%
Glen Scotia 18 year old,"New for 2017, this was matured for 17 years in bourbon casks before being finished in oloroso sherry casks for 1 year. The nose is fragrant, with prunes, oranges, vanilla, and faint wood polish. Ultimately, ozone. Silky palate delivery, with sweet sherry, honey, and dark chocolate-coated orange fondant creams, then a note of angelica. The finish offers spicy plain chocolate and a suggestion of sea salt. £86",91 points,Single Malt Scotch  , Gavin Smith ,  $113,Winter 2017,46%
Glencadam 25 year old The Remarkable,"Nutty on the nose, with a whiff of new leather and tropical fruit, plus the aroma of unsmoked cigars. Complex on the full palate, with almonds, citrus fruit, ginger, plain chocolate, a slight herbal note, and sweet oak. The finish is long and spicy, with black pepper and increasing oak. An often underrated single malt at its very best. (1,600 bottles)",91 points,Single Malt Scotch  , Gavin Smith ,  $500,Spring 2017,46%
GlenDronach 25 year old Grandeur (batch 7),"Matured in oloroso sherry casks. Confident plum, prune, and raisin notes on the early nose, with developing ripe cherries, sherried fudge, and resin. A slightly earthy undertone. Viscous in the mouth—very sweet—with developing tingling spices, then darker fruit notes emerge, with licorice and plain chocolate. The finish is long, with enduring dark chocolate and fruity spice. (1,180 bottles)",91 points,Single Malt Scotch  , Gavin Smith ,  $850,Fall 2017,50.6%
GlenDronach Single Cask #5476,"The oldest of the fifteen expressions in Batch 16 of GlenDronach’s single cask release program, this cask-strength offering has been matured for 26 years in a Pedro Ximénez sherry puncheon. The nose yields fresh-from-the-oven Christmas cake, cherries, nutmeg, and sweet leather. Viscous on the palate, with dark sherry, raisins, plain chocolate, tangy orange, and caramel. Prickly chili and dates in the long finish. (546 bottles) £310",91 points,Single Malt Scotch  , Gavin Smith ,  $418,Summer 2018,49.9%
GlenDronach 25 year old 1993 Master Vintage,"The nose is fragrant and floral, featuring ginger, hand-rolled tobacco, vanilla, hazelnuts, and ultimately, sweet sliced-apple aromas. Full-bodied in the mouth, with stewed fruits, milk chocolate, raisins, almonds, and lively spices. The finish is leisurely, with darkening milk chocolate, tannic oak, bitter tea, and persistent spiciness.",91 points,Single Malt Scotch  , Gavin Smith ,  $350,Fall 2019,48.2%
Glenfarclas 1974 vintage,"Dark, chestnut-copper color suggests a sherry cask, and one nosing confirms it. A very multi-faceted whisky-the sherry is quite profound, but there’s a lot going on in addition to the sherry. Deep, succulent, and chewy on the palate, with fig cake, raisins, old rum, tobacco, pencil shavings, and almond fudge. Quite a mouthful!",91 points,Single Malt Scotch  , John Hansell ,  $250,Winter 2006,57.4%
Glenfarclas 175th Anniversary,"First things first — congratulations to the Grants of Glenfarclas on attaining their 175th anniversary. To celebrate, they have vatted together a cask from 1952 with one each from the following five decades — and released it at an exceptionally reasonable price! The nose has a lift of struck match immediately followed by cedar, pomegranate, blackberry jam, and Seville orange. There’s a thick caramel toffee sweetness to the palate alongside the classic ’Farclas depth where dried, but sweet, fruits repose. Recommended. £80 (Dave Broom) (Value Pick)",91 points,Single Malt Scotch  , John Hansell ,  $131,Summer 2011,43%
Glenfarclas Family Cask 1970 (Cask #140),"Another first fill sherry butt, giving its typical reddish-brown hue. This runs more into the clove, cassia, and allspice area than just dried fruit. While maturity is obvious, and there’s even a hint of dunnage/leatheriness, it is the concentrated fruit sweetness that surprises here. The distillery has fought back against the cask, and while still crepuscular in nature, there is a rich, concentrated, and mellow glow at its heart. £345",91 points,Single Malt Scotch  , Dave Broom ,  $530,Summer 2012,57.1%
The Coronation (distilled at Glenfarclas) 1953,"Only 60 bottles have been released from this 60 year old first-fill sherry cask. Amazingly, the nose is not dominated by wood, but is mature and concentrated with the aroma of rain-moistened tweed, tropical fruit, blonde tobacco, cedar, and chanterelle mushroom. This elegantly faded, sepia-tinted impression continues on the tongue: fine-boned, mossy, clean, and slowly drying. A classic example of oxidation, not woodiness, allowing freshness to be retained. Amazing. (The Whisky Exchange exclusive.) £6,000",91 points,Single Malt Scotch  , Dave Broom ,"  $9,500",Winter 2013,51.1%
Glenfiddich 1977 Vintage (Cask #4414),"Very elegant and refined. Obviously this whisky was aged in a pristine sherry cask. The flavors are quite clean and well-defined. Gently sweet and fruity, with golden raisin, candy apple, and red raspberry jam. There’s delicate pineapple, dried cherry, coconut, and vanilla too, with a polished oak finish. A very classy Glenfiddich. Not as bold and spicy as last year’s 1976 vintage (which I had a hand in selecting but, ironically, don’t like as much). This new vintage approaches the caliber of the 1973 Vintage release from two years ago which I still think is the best one in recent years.",91 points,Single Malt Scotch  , John Hansell ,  $750,Spring 2009,54.1%
Glenfiddich Winter Storm 21 year old,"Glenfiddich’s Experimental Series continues with this expression, finished for up to 6 months in ice wine casks sourced from Peller Estates winery in Ontario, Canada. Concentrated aromas of canned peaches in syrup, vanilla, and clotted cream. Silky on the palate, with a carryover of peaches from the nose and succulent blood oranges. The finish is medium in length, slowly drying, but fruity to the end. (7,800 bottles in U.S.)",91 points,Single Malt Scotch  , Gavin Smith ,  $250,Spring 2018,43%
